event_time,user_id,category,amount,status
2026-05-27 14:07:10,u476,electronics,482.19,cancelled
2026-05-27 14:07:10,u653,electronics,393.92,cancelled
2026-05-27 14:07:10,u567,electronics,422.05,paid
2026-05-27 14:07:10,u907,sports,351.29,cancelled
2026-05-29 00:22:41,u596,sports,229.82,paid
2026-05-29 00:22:41,u141,clothing,238.91,cancelled
2026-05-29 00:22:41,u973,sports,495.09,cancelled
2026-05-29 00:22:41,u238,books,468.52,paid
2026-05-29 00:22:41,u935,home,254.55,paid
2026-05-29 00:58:42,u721,electronics,174.79,paid
2026-05-29 00:58:42,u527,books,157.68,cancelled
2026-05-29 00:58:42,u472,home,10.79,paid
2026-05-29 20:16:54,u597,electronics,243.01,paid
2026-05-29 20:16:54,u689,electronics,430.2,paid
2026-05-29 20:16:54,u444,electronics,213.63,paid
2026-05-29 20:16:54,u216,sports,115.31,pending
2026-05-29 20:16:54,u180,home,230.05,cancelled
2026-05-27 14:07:15,u806,books,192.62,cancelled
2026-05-27 14:07:15,u925,home,376.34,cancelled
2026-05-27 14:07:15,u725,clothing,424.35,paid
2026-05-27 14:07:15,u771,clothing,207.82,paid
2026-05-27 14:07:15,u412,home,371.68,paid
2026-05-29 00:22:46,u251,clothing,202.62,cancelled
2026-05-29 00:22:46,u467,electronics,104.52,cancelled
2026-05-29 00:22:46,u182,books,129.83,pending
2026-05-29 00:22:46,u819,electronics,38.1,pending
2026-05-29 00:59:02,u302,home,102.82,pending
2026-05-29 00:59:02,u757,electronics,110.05,paid
2026-05-29 00:59:02,u727,books,478.23,paid
2026-05-29 00:59:02,u502,sports,208.18,cancelled
2026-05-29 20:17:14,u306,electronics,93.8,pending
2026-05-29 20:17:14,u460,books,120.54,paid
2026-05-29 20:17:14,u986,home,147.4,paid
2026-05-29 20:17:14,u872,home,113.37,paid
2026-05-27 14:07:20,u548,books,312.39,pending
2026-05-27 14:07:20,u140,books,392.14,cancelled
2026-05-27 14:07:20,u971,electronics,419.35,pending
2026-05-29 00:22:51,u984,electronics,395.16,cancelled
2026-05-29 00:22:51,u403,books,476.79,pending
2026-05-29 00:22:51,u446,electronics,462.99,pending
2026-05-29 00:22:51,u401,books,417.69,cancelled
2026-05-29 00:59:22,u152,sports,21.09,pending
2026-05-29 00:59:22,u792,electronics,80.04,paid
2026-05-29 00:59:22,u962,clothing,343.71,pending
2026-05-29 00:59:22,u648,sports,334.24,cancelled
2026-05-29 00:59:22,u848,clothing,182.93,cancelled
2026-05-29 20:17:34,u672,home,467.89,paid
2026-05-29 20:17:34,u363,electronics,397.18,cancelled
2026-05-29 20:17:34,u741,books,134.3,pending
2026-05-29 20:17:34,u270,books,69.92,cancelled
2026-05-27 14:07:25,u670,home,434.99,pending
2026-05-27 14:07:25,u364,clothing,213.0,pending
2026-05-27 14:07:25,u534,clothing,204.15,paid
2026-05-27 14:07:25,u421,books,221.08,paid
2026-05-29 00:22:56,u904,books,212.48,pending
2026-05-29 00:22:56,u428,books,67.02,cancelled
2026-05-29 00:22:56,u185,electronics,412.66,paid
2026-05-29 00:22:56,u962,electronics,39.46,paid
2026-05-29 00:22:56,u602,sports,288.82,pending
2026-05-29 20:17:54,u342,books,26.58,paid
2026-05-29 20:17:54,u342,home,274.15,pending
2026-05-29 20:17:54,u125,clothing,40.35,paid
2026-05-27 14:07:30,u416,electronics,298.19,pending
2026-05-27 14:07:30,u812,sports,123.08,pending
2026-05-27 14:07:30,u404,books,143.44,paid
2026-05-27 14:07:30,u849,clothing,47.9,cancelled
2026-05-27 14:07:30,u444,sports,370.51,pending
2026-05-29 00:23:01,u696,sports,240.43,cancelled
2026-05-29 00:23:01,u674,electronics,97.57,cancelled
2026-05-29 00:23:01,u180,home,298.34,paid
2026-05-29 20:18:14,u186,home,28.53,cancelled
2026-05-29 20:18:14,u723,sports,308.08,pending
2026-05-29 20:18:14,u396,sports,206.68,paid
2026-05-29 20:18:14,u491,home,175.78,paid
2026-05-27 14:07:35,u514,books,441.82,pending
2026-05-27 14:07:35,u833,clothing,185.21,cancelled
2026-05-27 14:07:35,u120,electronics,89.85,pending
2026-05-27 14:07:35,u826,books,39.51,pending
2026-05-27 14:07:35,u278,sports,393.51,paid
2026-05-29 20:18:34,u935,home,364.94,paid
2026-05-29 20:18:34,u941,sports,135.82,paid
2026-05-29 20:18:34,u141,electronics,378.89,pending
2026-05-27 14:07:40,u808,electronics,148.09,pending
2026-05-27 14:07:40,u797,electronics,56.5,pending
2026-05-27 14:07:40,u666,clothing,248.95,pending
2026-05-27 14:07:40,u201,books,398.16,cancelled
2026-05-29 20:18:54,u690,books,319.26,cancelled
2026-05-29 20:18:54,u609,electronics,161.44,pending
2026-05-29 20:18:54,u800,electronics,290.03,paid
2026-05-27 14:07:45,u261,clothing,95.43,paid
2026-05-27 14:07:45,u191,sports,475.52,paid
2026-05-27 14:07:45,u177,electronics,486.17,pending
2026-05-27 14:07:45,u232,clothing,268.31,cancelled
2026-05-27 14:07:45,u975,electronics,117.55,pending
2026-05-29 20:19:14,u607,home,216.12,cancelled
2026-05-29 20:19:14,u320,sports,453.55,pending
2026-05-29 20:19:14,u460,home,164.67,cancelled
2026-05-29 20:19:14,u904,books,346.89,cancelled
2026-05-29 20:19:14,u161,clothing,321.64,paid
2026-05-27 14:07:50,u252,electronics,282.3,pending
2026-05-27 14:07:50,u650,clothing,62.4,cancelled
2026-05-27 14:07:50,u485,electronics,491.78,paid
2026-05-27 14:07:50,u856,home,206.14,paid
2026-05-27 14:07:50,u759,home,376.81,pending
2026-05-29 20:19:34,u450,electronics,308.42,cancelled
2026-05-29 20:19:34,u572,books,153.81,paid
2026-05-29 20:19:34,u604,books,402.32,cancelled
2026-05-29 20:19:34,u946,books,483.78,cancelled
2026-05-27 14:07:55,u626,electronics,67.42,cancelled
2026-05-27 14:07:55,u424,clothing,252.16,pending
2026-05-27 14:07:55,u547,home,103.85,paid
2026-05-27 14:07:55,u818,home,431.32,cancelled
2026-05-29 20:19:54,u947,books,496.38,cancelled
2026-05-29 20:19:54,u459,sports,274.38,pending
2026-05-29 20:19:54,u162,books,301.23,paid
2026-05-27 14:06:25,u546,electronics,239.71,cancelled
2026-05-27 14:06:25,u459,home,69.65,pending
2026-05-27 14:06:25,u647,home,184.53,cancelled
2026-05-29 00:21:56,u743,home,414.46,cancelled
2026-05-29 00:21:56,u299,sports,380.11,cancelled
2026-05-29 00:21:56,u938,electronics,396.09,cancelled
2026-05-29 00:21:56,u457,sports,222.52,pending
2026-05-29 00:25:50,u160,clothing,273.6,pending
2026-05-29 00:25:50,u902,electronics,108.3,pending
2026-05-29 00:25:50,u931,electronics,205.14,paid
2026-05-29 00:25:50,u504,books,85.75,paid
2026-05-29 00:25:50,u145,clothing,331.28,cancelled
2026-05-29 00:55:42,u561,books,410.8,paid
2026-05-29 00:55:42,u855,electronics,168.3,paid
2026-05-29 00:55:42,u625,home,332.51,paid
2026-05-29 00:55:42,u853,electronics,84.16,pending
2026-05-29 20:00:04,u393,home,480.98,paid
2026-05-29 20:00:04,u655,books,194.43,paid
2026-05-29 20:00:04,u872,books,423.64,cancelled
2026-05-29 20:08:34,u415,sports,159.42,pending
2026-05-29 20:08:34,u263,sports,212.22,paid
2026-05-29 20:08:34,u229,electronics,473.44,cancelled
2026-05-29 20:13:54,u729,home,304.2,pending
2026-05-29 20:13:54,u949,books,237.1,cancelled
2026-05-29 20:13:54,u243,home,51.04,pending
2026-05-29 20:13:54,u740,electronics,313.97,cancelled
2026-05-27 14:08:00,u496,clothing,288.21,pending
2026-05-27 14:08:00,u637,books,23.83,paid
2026-05-27 14:08:00,u939,home,364.23,paid
2026-05-27 14:08:00,u999,clothing,249.85,cancelled
2026-05-27 14:08:00,u342,clothing,272.99,paid
2026-05-27 14:08:05,u256,electronics,107.42,cancelled
2026-05-27 14:08:05,u298,sports,283.17,cancelled
2026-05-27 14:08:05,u952,books,334.87,pending
2026-05-27 14:08:05,u664,electronics,229.37,cancelled
2026-05-27 14:08:05,u297,sports,171.2,pending
2026-05-27 14:08:10,u711,electronics,310.32,pending
2026-05-27 14:08:10,u819,sports,41.63,paid
2026-05-27 14:08:10,u879,electronics,91.61,pending
2026-05-27 14:08:15,u785,sports,199.18,cancelled
2026-05-27 14:08:15,u954,books,64.46,paid
2026-05-27 14:08:15,u663,sports,212.78,cancelled
2026-05-27 14:08:15,u237,clothing,173.95,paid
2026-05-27 14:08:20,u959,books,357.66,pending
2026-05-27 14:08:20,u494,electronics,310.44,pending
2026-05-27 14:08:20,u634,electronics,379.01,pending
2026-05-27 14:08:20,u360,clothing,343.85,paid
2026-05-27 14:08:25,u576,books,80.66,pending
2026-05-27 14:08:25,u662,electronics,100.87,cancelled
2026-05-27 14:08:25,u412,home,142.54,cancelled
2026-05-27 14:08:30,u159,electronics,465.73,pending
2026-05-27 14:08:30,u878,electronics,217.78,cancelled
2026-05-27 14:08:30,u295,home,102.18,cancelled
2026-05-27 14:08:35,u416,electronics,496.13,cancelled
2026-05-27 14:08:35,u365,electronics,185.04,cancelled
2026-05-27 14:08:35,u971,clothing,86.22,pending
2026-05-27 14:08:35,u198,clothing,334.46,cancelled
2026-05-27 14:08:35,u217,home,332.47,pending
2026-05-27 14:08:40,u139,home,164.89,paid
2026-05-27 14:08:40,u516,electronics,249.0,paid
2026-05-27 14:08:40,u847,clothing,50.6,cancelled
2026-05-27 14:08:40,u613,home,406.58,cancelled
2026-05-27 14:08:40,u382,electronics,75.01,pending
2026-05-27 14:08:45,u713,home,230.8,cancelled
2026-05-27 14:08:45,u632,books,330.03,pending
2026-05-27 14:08:45,u628,books,62.36,pending
2026-05-27 14:08:45,u510,electronics,87.24,pending
2026-05-27 14:08:45,u970,sports,409.24,paid
2026-05-27 14:06:30,u343,electronics,122.27,cancelled
2026-05-27 14:06:30,u628,books,366.04,paid
2026-05-27 14:06:30,u439,clothing,172.39,paid
2026-05-27 14:06:30,u360,home,161.66,cancelled
2026-05-27 14:06:30,u250,home,101.24,pending
2026-05-29 00:22:01,u729,electronics,46.49,paid
2026-05-29 00:22:01,u518,home,372.67,cancelled
2026-05-29 00:22:01,u852,electronics,427.54,pending
2026-05-29 00:22:01,u920,sports,53.03,cancelled
2026-05-29 00:22:01,u961,books,399.8,pending
2026-05-29 00:26:10,u680,home,403.39,paid
2026-05-29 00:26:10,u723,home,363.66,paid
2026-05-29 00:26:10,u994,sports,102.96,cancelled
2026-05-29 00:56:02,u381,books,15.71,paid
2026-05-29 00:56:02,u702,home,176.11,paid
2026-05-29 00:56:02,u450,home,294.25,paid
2026-05-29 20:00:24,u879,home,380.49,cancelled
2026-05-29 20:00:24,u852,clothing,125.87,pending
2026-05-29 20:00:24,u352,books,401.77,pending
2026-05-29 20:08:54,u150,electronics,448.25,paid
2026-05-29 20:08:54,u525,electronics,11.88,paid
2026-05-29 20:08:54,u649,home,86.99,pending
2026-05-29 20:08:54,u130,clothing,237.61,cancelled
2026-05-29 20:08:54,u241,sports,143.38,paid
2026-05-29 20:14:14,u454,electronics,389.72,paid
2026-05-29 20:14:14,u286,home,290.43,pending
2026-05-29 20:14:14,u919,electronics,189.17,pending
2026-05-29 20:14:14,u945,sports,382.85,pending
2026-05-27 14:08:50,u233,clothing,138.51,paid
2026-05-27 14:08:50,u196,clothing,21.33,paid
2026-05-27 14:08:50,u126,electronics,48.54,pending
2026-05-27 14:08:50,u637,sports,396.1,pending
2026-05-27 14:08:50,u284,electronics,439.91,cancelled
2026-05-27 14:08:55,u698,home,135.06,paid
2026-05-27 14:08:55,u935,clothing,326.67,paid
2026-05-27 14:08:55,u400,home,137.08,paid
2026-05-27 14:08:55,u704,home,408.79,cancelled
2026-05-27 14:09:00,u862,sports,382.27,cancelled
2026-05-27 14:09:00,u220,books,346.83,cancelled
2026-05-27 14:09:00,u978,home,445.28,pending
2026-05-27 14:09:00,u481,sports,398.21,cancelled
2026-05-27 14:09:05,u304,clothing,63.6,paid
2026-05-27 14:09:05,u328,sports,25.83,paid
2026-05-27 14:09:05,u883,books,33.24,paid
2026-05-27 14:09:05,u231,books,297.11,pending
2026-05-27 14:09:05,u527,home,188.45,pending
2026-05-27 14:09:10,u239,home,434.19,pending
2026-05-27 14:09:10,u935,clothing,174.62,cancelled
2026-05-27 14:09:10,u904,electronics,357.64,pending
2026-05-27 14:09:10,u122,books,253.66,pending
2026-05-27 14:09:15,u566,sports,22.88,pending
2026-05-27 14:09:15,u538,clothing,189.3,paid
2026-05-27 14:09:15,u372,electronics,329.7,cancelled
2026-05-27 14:09:15,u427,electronics,122.38,cancelled
2026-05-27 14:09:20,u553,sports,32.28,pending
2026-05-27 14:09:20,u138,home,497.92,pending
2026-05-27 14:09:20,u460,sports,402.96,paid
2026-05-27 14:09:25,u592,books,499.58,cancelled
2026-05-27 14:09:25,u414,sports,360.01,cancelled
2026-05-27 14:09:25,u933,sports,419.71,paid
2026-05-27 14:09:25,u271,books,292.68,paid
2026-05-27 14:09:30,u599,electronics,173.63,paid
2026-05-27 14:09:30,u841,clothing,211.43,pending
2026-05-27 14:09:30,u588,home,341.85,cancelled
2026-05-27 14:09:35,u122,electronics,128.2,paid
2026-05-27 14:09:35,u184,clothing,334.53,paid
2026-05-27 14:09:35,u956,electronics,398.56,paid
2026-05-27 14:06:35,u286,clothing,410.85,cancelled
2026-05-27 14:06:35,u407,clothing,255.5,cancelled
2026-05-27 14:06:35,u660,home,93.0,paid
2026-05-27 14:06:35,u614,books,52.12,cancelled
2026-05-27 14:06:35,u640,sports,338.11,cancelled
2026-05-29 00:22:06,u348,electronics,212.68,pending
2026-05-29 00:22:06,u663,clothing,85.62,cancelled
2026-05-29 00:22:06,u289,home,271.1,pending
2026-05-29 00:22:06,u463,home,68.24,paid
2026-05-29 00:22:06,u223,home,180.79,pending
2026-05-29 00:26:30,u924,clothing,287.56,cancelled
2026-05-29 00:26:30,u804,sports,210.58,pending
2026-05-29 00:26:30,u149,clothing,409.09,paid
2026-05-29 00:26:30,u302,electronics,70.9,paid
2026-05-29 00:26:30,u102,electronics,130.1,cancelled
2026-05-29 00:56:22,u520,clothing,400.59,paid
2026-05-29 00:56:22,u124,home,29.37,cancelled
2026-05-29 00:56:22,u327,electronics,67.88,paid
2026-05-29 00:56:22,u562,sports,20.58,cancelled
2026-05-29 00:56:22,u380,clothing,391.8,pending
2026-05-29 20:00:44,u853,home,66.69,pending
2026-05-29 20:00:44,u954,home,247.1,cancelled
2026-05-29 20:00:44,u936,sports,21.72,paid
2026-05-29 20:00:44,u466,sports,366.03,paid
2026-05-29 20:00:44,u932,sports,19.41,paid
2026-05-29 20:09:14,u158,clothing,489.2,pending
2026-05-29 20:09:14,u998,sports,226.96,paid
2026-05-29 20:09:14,u440,electronics,55.16,cancelled
2026-05-29 20:14:34,u542,books,89.7,cancelled
2026-05-29 20:14:34,u493,clothing,105.78,pending
2026-05-29 20:14:34,u632,electronics,73.27,paid
2026-05-27 14:09:40,u354,home,229.92,cancelled
2026-05-27 14:09:40,u725,electronics,434.6,cancelled
2026-05-27 14:09:40,u835,books,34.38,paid
2026-05-27 14:09:40,u884,books,140.06,paid
2026-05-27 14:09:40,u171,electronics,336.67,pending
2026-05-27 14:09:45,u361,electronics,357.34,paid
2026-05-27 14:09:45,u426,books,236.22,pending
2026-05-27 14:09:45,u184,sports,139.74,cancelled
2026-05-27 14:09:45,u913,home,474.48,pending
2026-05-27 14:09:50,u180,books,236.15,cancelled
2026-05-27 14:09:50,u159,electronics,258.14,cancelled
2026-05-27 14:09:50,u617,home,99.88,paid
2026-05-27 14:09:55,u282,sports,263.28,cancelled
2026-05-27 14:09:55,u574,electronics,157.03,cancelled
2026-05-27 14:09:55,u369,clothing,49.89,cancelled
2026-05-27 14:10:00,u929,books,312.29,pending
2026-05-27 14:10:00,u588,home,432.67,cancelled
2026-05-27 14:10:00,u388,home,270.4,paid
2026-05-27 14:10:00,u362,electronics,438.91,cancelled
2026-05-27 14:10:05,u567,clothing,287.03,pending
2026-05-27 14:10:05,u138,home,129.3,cancelled
2026-05-27 14:10:05,u616,books,68.18,paid
2026-05-27 14:10:05,u196,sports,11.27,pending
2026-05-27 14:10:10,u589,sports,178.49,pending
2026-05-27 14:10:10,u961,sports,418.39,pending
2026-05-27 14:10:10,u332,home,489.93,pending
2026-05-27 14:10:15,u870,sports,263.03,cancelled
2026-05-27 14:10:15,u297,books,253.43,pending
2026-05-27 14:10:15,u974,clothing,363.47,pending
2026-05-27 14:10:15,u249,home,327.01,pending
2026-05-27 14:10:20,u817,books,68.81,paid
2026-05-27 14:10:20,u630,sports,203.91,paid
2026-05-27 14:10:20,u118,sports,446.94,pending
2026-05-27 14:10:20,u861,sports,141.52,pending
2026-05-27 14:10:25,u955,electronics,163.75,paid
2026-05-27 14:10:25,u123,sports,28.05,pending
2026-05-27 14:10:25,u845,clothing,199.47,cancelled
2026-05-27 14:10:25,u779,books,62.84,cancelled
2026-05-27 14:06:40,u613,clothing,45.77,pending
2026-05-27 14:06:40,u806,books,220.96,paid
2026-05-27 14:06:40,u545,electronics,282.72,pending
2026-05-29 00:22:11,u276,home,289.34,pending
2026-05-29 00:22:11,u885,home,208.41,paid
2026-05-29 00:22:11,u353,home,148.5,cancelled
2026-05-29 00:22:11,u481,books,35.26,pending
2026-05-29 00:26:50,u166,sports,430.64,pending
2026-05-29 00:26:50,u337,home,45.67,cancelled
2026-05-29 00:26:50,u468,electronics,465.75,pending
2026-05-29 00:56:42,u690,books,188.11,pending
2026-05-29 00:56:42,u374,sports,425.87,pending
2026-05-29 00:56:42,u952,electronics,35.4,paid
